level,town,name,Total population_2020,Population under age 18_2020,Percent under age 18_2020,Population ages 18+_2020,Percent ages 18+_2020,Population ages 65+_2020,Percent ages 65+_2020,White population_2020,Percent white_2020,Black population_2020,Percent Black_2020,Latino population_2020,Percent Latino_2020,Other race population_2020,Percent other race_2020,Foreign-born population_2020,Percent foreign-born_2020,Total households_2020,Owner-occupied households_2020,Homeownership rate_2020,Cost-burdened households_2020,Cost-burden rate_2020,Poverty status known_2020,Population in poverty_2020,Poverty rate_2020,Low-income population_2020,Low-income rate_2020,"Under 18, poverty status known_2020",Children in poverty_2020,Child poverty rate_2020,Low-income children_2020,Child low-income rate_2020,"Ages 65+, poverty status known_2020",Seniors in poverty_2020,Senior poverty rate_2020,Low-income seniors_2020,Senior low-income rate_2020,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2019,Current asthma rate (adults)_2019,Diabetes rate (adults)_2019,Percent adults with high blood pressure_2019,Annual checkup rate (adults)_2019,Annual dental visit rate (adults)_2018,"Ages 18-64, no health insurance_2019",Current smoking rate (adults)_2019,Percent adults sleeping under 7 hours daily_2018
state,,Connecticut,3570549,735584,0.21,2834965,0.79,615466,0.17,2357942,0.66,352036,0.1,587212,0.16,273359,0.08,521384,0.15,1385437,915408,0.66,475395,0.35,3466935,339156,0.1,772414,0.22,726564,94665,0.13,212862,0.29,595226,42641,0.07,124525,0.21,80.3,0.05,0.1,0.09,0.3,0.78,0.75,0.11,0.14,0.35
region,,Greater Hartford,970597,198227,0.2,772370,0.8,164441,0.17,607217,0.63,115252,0.12,162509,0.17,85619,0.09,142270,0.15,380683,247283,0.65,121796,0.33,935651,98782,0.11,214636,0.23,195720,26541,0.14,58398,0.3,159057,13230,0.08,35605,0.22,79.9,0.05,0.1,0.09,0.29,0.79,0.76,0.11,0.14,0.35
town,,Hartford,122549,28447,0.23,94102,0.77,14334,0.12,18311,0.15,42651,0.35,54769,0.45,6818,0.06,25805,0.21,47722,11900,0.25,23310,0.52,115724,32420,0.28,59154,0.51,27947,10394,0.37,18463,0.66,13934,3406,0.24,6803,0.49,77.1,0.06,0.13,0.13,0.32,0.78,0.6,0.22,0.19,0.42
town,,West Hartford,63023,13721,0.22,49302,0.78,11833,0.19,44645,0.71,4005,0.06,7567,0.12,6806,0.11,10924,0.17,25406,17624,0.69,7358,0.29,61986,3951,0.06,8496,0.14,13670,957,0.07,1917,0.14,11310,1013,0.09,2413,0.21,82.4,0.05,0.1,0.07,0.28,0.81,0.82,0.07,0.1,0.31
neighborhood,Hartford,Asylum Hill,10447,2337,0.22,8110,0.78,977,0.09,1389,0.13,4853,0.46,2935,0.28,1267,0.12,2220,0.21,5035,661,0.13,2396,0.5,10278,2427,0.24,5992,0.58,2316,577,0.25,1859,0.8,977,217,0.22,399,0.41,79.3,0.05,0.12,0.12,0.33,0.79,0.61,0.18,0.19,0.43
neighborhood,Hartford,Barry Square,15061,3411,0.23,11650,0.77,1340,0.09,2576,0.17,2939,0.2,8787,0.58,757,0.05,3372,0.22,5044,854,0.17,2733,0.57,13108,3953,0.3,7688,0.59,3341,1294,0.39,2365,0.71,1334,259,0.19,531,0.4,77.8,0.05,0.13,0.12,0.28,0.75,0.57,0.26,0.2,0.4
neighborhood,Hartford,Behind the Rocks,8148,1497,0.18,6651,0.82,887,0.11,727,0.09,1845,0.23,5277,0.65,299,0.04,1449,0.18,3146,1137,0.36,1534,0.52,8114,2073,0.26,4413,0.54,1489,323,0.22,940,0.63,861,323,0.38,455,0.53,77.9,0.05,0.12,0.14,0.31,0.76,0.57,0.26,0.19,0.41
neighborhood,West Hartford,Bishops Corner West,7782,1671,0.21,6111,0.79,1771,0.23,5796,0.74,411,0.05,574,0.07,1001,0.13,1589,0.2,3079,2469,0.8,635,0.21,7714,273,0.04,668,0.09,1659,16,0.01,47,0.03,1771,160,0.09,406,0.23,83.5,0.06,0.09,0.08,0.31,0.83,0.85,0.06,0.09,0.29
neighborhood,Hartford,Blue Hills,10933,1527,0.14,9406,0.86,1739,0.16,1994,0.18,7777,0.71,806,0.07,356,0.03,2757,0.25,3057,2002,0.65,1368,0.46,8069,872,0.11,2935,0.36,1389,238,0.17,719,0.52,1739,148,0.09,617,0.35,77.2,0.05,0.14,0.11,0.33,0.82,0.67,0.13,0.16,0.42
neighborhood,West Hartford,Buena Vista,5946,1290,0.22,4656,0.78,1525,0.26,4585,0.77,305,0.05,382,0.06,674,0.11,1119,0.19,2426,2201,0.91,650,0.27,5877,386,0.07,591,0.1,1276,57,0.04,57,0.04,1472,102,0.07,235,0.16,81.5,0.07,0.09,0.09,0.33,0.84,0.83,0.06,0.1,0.3
