level,town,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020
state,,Connecticut,3611317,742877,0.21,2868440,0.79,629108,0.17,2308644,0.64,355970,0.1,627408,0.17,319295,0.09,542964,0.15,1409807,932588,0.66,480042,0.35,3507563,355692,0.1,786615,0.22,733553,98183,0.13,210923,0.29,609617,48446,0.08,132552,0.22,80.3,0.052,0.111,0.094,0.297,0.248,0.112,0.754,0.704,0.08,0.139,0.336
region,,Greater Hartford,977165,200946,0.21,776219,0.79,167285,0.17,593343,0.61,114765,0.12,174513,0.18,94544,0.1,143765,0.15,386549,252141,0.65,123029,0.33,942162,101370,0.11,214596,0.23,198566,27821,0.14,57625,0.29,161750,14105,0.09,36835,0.23,79.9,0.055,0.117,0.103,0.318,0.271,0.119,0.773,0.689,0.08,0.138,0.344
town,,Hartford,121057,27916,0.23,93141,0.77,13726,0.11,18023,0.15,41103,0.34,55823,0.46,6108,0.05,25717,0.21,48277,12378,0.26,24658,0.54,113596,30538,0.27,57725,0.51,27323,9985,0.37,17883,0.65,13307,3537,0.27,6663,0.5,77.1,0.058,0.14,0.152,0.348,0.375,0.17,0.761,0.521,0.18,0.198,0.411
town,,West Hartford,64088,14046,0.22,50042,0.78,11949,0.19,44049,0.69,4528,0.07,8597,0.13,6914,0.11,11156,0.17,26100,17905,0.69,7209,0.28,62860,3729,0.06,8198,0.13,13996,754,0.05,1772,0.13,11376,913,0.08,2350,0.21,82.4,0.052,0.107,0.089,0.306,0.227,0.098,0.784,0.768,0.048,0.092,0.308
neighborhood,Hartford,Asylum Hill,10423,2207,0.21,8216,0.79,1137,0.11,1438,0.14,4916,0.47,3145,0.3,925,0.09,2073,0.2,5329,658,0.12,2947,0.59,10288,2383,0.23,5996,0.58,2202,411,0.19,1698,0.77,1127,362,0.32,555,0.49,79.5,0.053,0.137,0.143,0.353,0.336,0.151,0.771,0.546,0.134,0.188,0.42
neighborhood,Hartford,Barry Square,13406,2873,0.21,10533,0.79,991,0.07,2532,0.19,2117,0.16,7877,0.59,878,0.07,3046,0.23,4420,839,0.19,2445,0.58,11082,3253,0.29,6489,0.59,2774,1108,0.4,2102,0.76,989,303,0.31,447,0.45,78,0.054,0.145,0.145,0.304,0.408,0.169,0.732,0.475,0.23,0.208,0.398
neighborhood,Hartford,Behind the Rocks,8901,1790,0.2,7111,0.8,1090,0.12,895,0.1,1479,0.17,6398,0.72,127,0.01,1287,0.14,3426,1398,0.41,1708,0.53,8818,2094,0.24,4321,0.49,1779,521,0.29,1162,0.65,1028,241,0.23,371,0.36,78.4,0.058,0.13,0.154,0.332,0.375,0.171,0.749,0.515,0.221,0.192,0.397
neighborhood,West Hartford,Bishops Corner West,8019,1837,0.23,6182,0.77,1711,0.21,5959,0.74,477,0.06,664,0.08,919,0.11,1578,0.2,3155,2556,0.81,656,0.21,7970,182,0.02,627,0.08,1831,0,0,0,0,1711,133,0.08,450,0.26,83.5,0.062,0.104,0.098,0.339,0.23,0.106,0.804,0.791,0.036,0.082,0.29
neighborhood,Hartford,Blue Hills,10321,1540,0.15,8781,0.85,1551,0.15,2051,0.2,7168,0.69,658,0.06,445,0.04,2628,0.25,2902,1825,0.63,1315,0.47,7684,812,0.11,2716,0.35,1374,132,0.1,589,0.43,1552,153,0.1,484,0.31,77.2,0.048,0.151,0.13,0.356,0.338,0.141,0.794,0.591,0.093,0.158,0.425
neighborhood,West Hartford,Buena Vista,2819,644,0.23,2175,0.77,901,0.32,2409,0.85,27,0.01,163,0.06,220,0.08,286,0.1,1166,1118,0.96,232,0.2,2807,52,0.02,97,0.03,644,0,0,0,0,889,23,0.03,55,0.06,83.1,0.061,0.103,0.096,0.342,0.223,0.102,0.807,0.799,0.033,0.082,0.293
