level,name,Total population_2020,Population under age 18_2020,Percent under age 18_2020,Population ages 18+_2020,Percent ages 18+_2020,Population ages 65+_2020,Percent ages 65+_2020,White population_2020,Percent white_2020,Black population_2020,Percent Black_2020,Latino population_2020,Percent Latino_2020,Other race population_2020,Percent other race_2020,Foreign-born population_2020,Percent foreign-born_2020,Total households_2020,Owner-occupied households_2020,Homeownership rate_2020,Cost-burdened households_2020,Cost-burden rate_2020,Poverty status known_2020,Population in poverty_2020,Poverty rate_2020,Low-income population_2020,Low-income rate_2020,"Under 18, poverty status known_2020",Children in poverty_2020,Child poverty rate_2020,Low-income children_2020,Child low-income rate_2020,"Ages 65+, poverty status known_2020",Seniors in poverty_2020,Senior poverty rate_2020,Low-income seniors_2020,Senior low-income rate_2020,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2019,Current asthma rate (adults)_2019,Diabetes rate (adults)_2019,Percent adults with high blood pressure_2019,Annual checkup rate (adults)_2019,Annual dental visit rate (adults)_2018,"Ages 18-64, no health insurance_2019",Current smoking rate (adults)_2019,Percent adults sleeping under 7 hours daily_2018
state,Connecticut,3570549,735584,0.21,2834965,0.79,615466,0.17,2357942,0.66,352036,0.1,587212,0.16,273359,0.08,521384,0.15,1385437,915408,0.66,475395,0.35,3466935,339156,0.1,772414,0.22,726564,94665,0.13,212862,0.29,595226,42641,0.07,124525,0.21,80.3,0.05,0.1,0.09,0.3,0.78,0.75,0.11,0.14,0.35
region,Greater New Haven,463099,92764,0.2,370335,0.8,78002,0.17,276773,0.6,72776,0.16,76719,0.17,36831,0.08,63573,0.14,176463,105204,0.6,67144,0.39,443839,50727,0.11,112198,0.25,91712,14557,0.16,31278,0.34,75695,5194,0.07,16370,0.22,79.8,0.05,0.11,0.1,0.31,0.78,0.73,0.11,0.15,0.37
town,New Haven,130381,29447,0.23,100934,0.77,14153,0.11,37883,0.29,41517,0.32,40177,0.31,10804,0.08,22702,0.17,49051,13715,0.28,24196,0.51,121760,30659,0.25,59151,0.49,28985,9975,0.34,18677,0.64,13650,2373,0.17,6111,0.45,78.2,0.05,0.12,0.12,0.32,0.76,0.63,0.17,0.19,0.42
neighborhood,Amity,5052,1232,0.24,3820,0.76,469,0.09,778,0.15,2408,0.48,1460,0.29,406,0.08,759,0.15,1685,900,0.53,808,0.49,5052,1022,0.2,2227,0.44,1232,398,0.32,949,0.77,469,163,0.35,241,0.51,77,0.05,0.14,0.13,0.36,0.8,0.62,0.15,0.2,0.45
neighborhood,Annex,7042,2421,0.34,4621,0.66,665,0.09,1618,0.23,1566,0.22,3518,0.5,340,0.05,1002,0.14,2546,681,0.27,1140,0.45,6991,1625,0.23,3290,0.47,2370,904,0.38,1539,0.65,665,49,0.07,317,0.48,80.4,0.04,0.12,0.11,0.3,0.74,0.63,0.2,0.2,0.42
neighborhood,Beaver Hills,5992,1475,0.25,4517,0.75,620,0.1,1185,0.2,3533,0.59,993,0.17,282,0.05,767,0.13,1929,701,0.36,1002,0.53,5736,1127,0.2,2476,0.43,1463,404,0.28,814,0.56,619,42,0.07,156,0.25,75.8,0.04,0.13,0.11,0.33,0.79,0.68,0.13,0.18,0.43
neighborhood,Dixwell,4670,985,0.21,3685,0.79,484,0.1,733,0.16,2652,0.57,829,0.18,456,0.1,428,0.09,1583,348,0.22,801,0.51,3846,1030,0.27,2039,0.53,970,339,0.35,648,0.67,474,82,0.17,271,0.57,73.2,0.06,0.13,0.15,0.39,0.78,0.56,0.18,0.22,0.47
neighborhood,Downtown New Haven,11183,703,0.06,10480,0.94,557,0.05,5666,0.51,1437,0.13,1499,0.13,2579,0.23,2622,0.23,4259,353,0.08,1729,0.44,7113,2084,0.29,2610,0.37,644,332,0.52,363,0.56,554,7,0.01,97,0.18,79.2,0.02,0.11,0.04,0.16,0.72,0.74,0.1,0.12,0.37
neighborhood,Dwight,3728,804,0.22,2924,0.78,296,0.08,830,0.22,1587,0.43,957,0.26,354,0.09,412,0.11,1849,95,0.05,1071,0.6,3728,1111,0.3,2356,0.63,804,254,0.32,702,0.87,296,48,0.16,194,0.66,78,0.04,0.13,0.11,0.31,0.75,0.57,0.17,0.21,0.44
neighborhood,East Rock,8631,1423,0.16,7208,0.84,724,0.08,4991,0.58,778,0.09,1744,0.2,1114,0.13,2209,0.26,3756,787,0.21,1499,0.41,8612,1580,0.18,2860,0.33,1418,260,0.18,571,0.4,713,25,0.04,160,0.22,82.8,0.03,0.1,0.06,0.22,0.74,0.76,0.1,0.12,0.36
neighborhood,East Shore,3891,540,0.14,3351,0.86,843,0.22,2976,0.76,181,0.05,489,0.13,245,0.06,374,0.1,1838,1369,0.74,768,0.44,3876,276,0.07,708,0.18,540,48,0.09,124,0.23,843,66,0.08,156,0.19,80.7,0.05,0.1,0.09,0.31,0.78,0.8,0.09,0.14,0.34
