level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020
state,Connecticut,3611317,742877,0.21,2868440,0.79,629108,0.17,2308644,0.64,355970,0.1,627408,0.17,319295,0.09,542964,0.15,1409807,932588,0.66,480042,0.35,3507563,355692,0.1,786615,0.22,733553,98183,0.13,210923,0.29,609617,48446,0.08,132552,0.22,80.3,0.25,0.11,0.05,0.11,0.09,0.3,0.75,0.7,0.08,0.14,0.34
region,Greater New Haven,466491,92281,0.2,374210,0.8,81110,0.17,284244,0.61,65742,0.14,80057,0.17,36448,0.08,62871,0.13,182705,109354,0.6,66758,0.38,445221,52504,0.12,109650,0.25,91173,14598,0.16,29475,0.32,78893,6453,0.08,17488,0.22,79.8,0.25,0.11,0.05,0.11,0.1,0.31,0.75,0.7,0.08,0.15,0.36
town,New Haven,135736,29836,0.22,105900,0.78,14630,0.11,43696,0.32,38040,0.28,41631,0.31,12369,0.09,23754,0.18,52977,15168,0.29,25128,0.49,126367,31927,0.25,58284,0.46,29348,10536,0.36,18336,0.62,14180,2695,0.19,6307,0.44,78.2,0.3,0.14,0.05,0.12,0.12,0.31,0.74,0.59,0.14,0.19,0.4
neighborhood,Amity,4424,796,0.18,3628,0.82,433,0.1,804,0.18,2710,0.61,787,0.18,123,0.03,694,0.16,1680,774,0.46,780,0.48,4424,1059,0.24,1868,0.42,796,388,0.49,576,0.72,433,71,0.16,131,0.3,77,0.3,0.14,0.05,0.13,0.13,0.35,0.77,0.6,0.1,0.2,0.43
neighborhood,Annex,6309,1942,0.31,4367,0.69,765,0.12,1636,0.26,843,0.13,3281,0.52,549,0.09,1338,0.21,2551,806,0.32,1124,0.46,6282,2063,0.33,3365,0.54,1915,1010,0.53,1255,0.66,765,55,0.07,505,0.66,80.4,0.29,0.12,0.04,0.12,0.11,0.29,0.72,0.59,0.16,0.2,0.4
neighborhood,Beaver Hills,6957,2051,0.29,4906,0.71,679,0.1,1431,0.21,3510,0.5,1515,0.22,502,0.07,703,0.1,2177,813,0.37,952,0.45,6697,1493,0.22,2735,0.41,2035,652,0.32,1114,0.55,679,115,0.17,231,0.34,75.8,0.27,0.12,0.04,0.13,0.11,0.33,0.77,0.63,0.09,0.17,0.42
neighborhood,Dixwell,4845,1111,0.23,3734,0.77,379,0.08,803,0.17,2525,0.52,825,0.17,692,0.14,336,0.07,1619,321,0.2,819,0.53,4193,1412,0.34,2390,0.57,1092,520,0.48,766,0.7,379,94,0.25,221,0.58,73.2,0.34,0.16,0.05,0.13,0.15,0.38,0.76,0.53,0.14,0.22,0.45
neighborhood,Downtown New Haven,12396,737,0.06,11659,0.94,604,0.05,6170,0.5,1427,0.12,2016,0.16,2784,0.22,3024,0.24,4696,374,0.08,2030,0.47,7446,2074,0.28,2671,0.36,712,355,0.5,380,0.53,606,27,0.04,122,0.2,79.2,0.2,0.04,0.02,0.11,0.04,0.15,0.68,0.7,0.07,0.1,0.34
neighborhood,Dwight,3894,782,0.2,3112,0.8,284,0.07,1042,0.27,1601,0.41,1087,0.28,164,0.04,488,0.13,2006,57,0.03,1254,0.65,3880,1334,0.34,2619,0.68,782,385,0.49,755,0.97,284,94,0.33,227,0.8,78,0.31,0.13,0.04,0.13,0.12,0.3,0.73,0.54,0.14,0.21,0.42
neighborhood,East Rock,9419,1481,0.16,7938,0.84,693,0.07,5617,0.6,735,0.08,1815,0.19,1253,0.13,1977,0.21,4461,966,0.22,1751,0.41,9401,1593,0.17,2637,0.28,1479,250,0.17,494,0.33,679,20,0.03,126,0.19,82.8,0.19,0.07,0.03,0.11,0.06,0.21,0.71,0.71,0.07,0.11,0.34
