level,name,Total population_2020,Population under age 18_2020,Percent under age 18_2020,Population ages 18+_2020,Percent ages 18+_2020,Population ages 65+_2020,Percent ages 65+_2020,White population_2020,Percent white_2020,Black population_2020,Percent Black_2020,Latino population_2020,Percent Latino_2020,Other race population_2020,Percent other race_2020,Foreign-born population_2020,Percent foreign-born_2020,Total households_2020,Owner-occupied households_2020,Homeownership rate_2020,Cost-burdened households_2020,Cost-burden rate_2020,Poverty status known_2020,Population in poverty_2020,Poverty rate_2020,Low-income population_2020,Low-income rate_2020,"Under 18, poverty status known_2020",Children in poverty_2020,Child poverty rate_2020,Low-income children_2020,Child low-income rate_2020,"Ages 65+, poverty status known_2020",Seniors in poverty_2020,Senior poverty rate_2020,Low-income seniors_2020,Senior low-income rate_2020,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2019,Current asthma rate (adults)_2019,Diabetes rate (adults)_2019,Percent adults with high blood pressure_2019,Annual checkup rate (adults)_2019,Annual dental visit rate (adults)_2018,"Ages 18-64, no health insurance_2019",Current smoking rate (adults)_2019,Percent adults sleeping under 7 hours daily_2018
state,Connecticut,3570549,735584,0.21,2834965,0.79,615466,0.17,2357942,0.66,352036,0.1,587212,0.16,273359,0.08,521384,0.15,1385437,915408,0.66,475395,0.35,3466935,339156,0.1,772414,0.22,726564,94665,0.13,212862,0.29,595226,42641,0.07,124525,0.21,80.3,0.05,0.1,0.09,0.3,0.78,0.75,0.11,0.14,0.35
region,Fairfield County,944306,212144,0.22,732162,0.78,150147,0.16,576391,0.61,99724,0.11,189215,0.2,78976,0.08,206892,0.22,345070,230123,0.67,131862,0.39,926873,82718,0.09,191082,0.21,209799,24277,0.12,55432,0.26,145732,10093,0.07,27605,0.19,81.6,0.05,0.09,0.08,0.28,0.76,0.74,0.12,0.12,0.33
town,Stamford,130057,25166,0.19,104891,0.81,20075,0.15,63346,0.49,17093,0.13,35236,0.27,14382,0.11,42917,0.33,50952,25627,0.5,21601,0.43,129144,11800,0.09,30515,0.24,24904,3395,0.14,8503,0.34,19554,1553,0.08,4827,0.25,81.9,0.04,0.08,0.08,0.27,0.75,0.73,0.14,0.11,0.33
neighborhood,Belltown,4578,1081,0.24,3497,0.76,496,0.11,2434,0.53,618,0.13,1058,0.23,471,0.1,1521,0.33,1577,1105,0.7,552,0.35,4564,349,0.08,1144,0.25,1066,129,0.12,404,0.38,496,15,0.03,52,0.1,81.5,0.04,0.08,0.07,0.25,0.75,0.77,0.11,0.11,0.32
neighborhood,Cove-East Side,17262,3760,0.22,13502,0.78,1907,0.11,7160,0.41,2275,0.13,6734,0.39,1093,0.06,6650,0.39,5890,2885,0.49,2876,0.5,17001,1365,0.08,4436,0.26,3604,351,0.1,1320,0.37,1814,214,0.12,759,0.42,81.4,0.04,0.09,0.08,0.26,0.73,0.69,0.19,0.13,0.35
neighborhood,Downtown Stamford,20981,2903,0.14,18078,0.86,3205,0.15,8636,0.41,3806,0.18,4243,0.2,4296,0.2,7641,0.36,10385,1960,0.19,4532,0.44,20981,2563,0.12,6095,0.29,2903,652,0.22,1277,0.44,3205,400,0.12,1520,0.47,81.2,0.03,0.08,0.07,0.23,0.73,0.74,0.12,0.11,0.34
neighborhood,Glenbrook,23929,6259,0.26,17670,0.74,3008,0.13,13832,0.58,1542,0.06,5745,0.24,2813,0.12,6466,0.27,8509,5317,0.62,3482,0.42,23753,1982,0.08,5231,0.22,6259,750,0.12,1772,0.28,2877,126,0.04,458,0.16,81.7,0.04,0.09,0.08,0.27,0.75,0.75,0.12,0.12,0.33
neighborhood,Newfield,10973,2905,0.26,8068,0.74,2291,0.21,9487,0.86,155,0.01,637,0.06,693,0.06,1433,0.13,3533,3143,0.89,919,0.26,10954,181,0.02,466,0.04,2904,25,0.01,130,0.04,2278,71,0.03,159,0.07,82.7,0.04,0.08,0.07,0.27,0.78,0.83,0.06,0.08,0.29
neighborhood,North Stamford,22170,4768,0.22,17402,0.78,4446,0.2,17623,0.79,551,0.02,2174,0.1,1822,0.08,4177,0.19,7324,6804,0.93,2032,0.28,22037,817,0.04,1311,0.06,4768,202,0.04,280,0.06,4333,146,0.03,292,0.07,86,0.04,0.08,0.07,0.28,0.79,0.84,0.06,0.08,0.28
neighborhood,Palmers Hill,3253,866,0.27,2387,0.73,647,0.2,2498,0.77,49,0.02,229,0.07,477,0.15,644,0.2,1128,875,0.78,382,0.34,3207,142,0.04,395,0.12,854,38,0.04,104,0.12,614,18,0.03,96,0.16,84.6,0.05,0.08,0.07,0.28,0.78,0.82,0.07,0.08,0.29
